|word_de|part_of_speech|word_en|sentence_de|sentence_en|sentence_lemmatized_de
0.0|die|article|the|Die Zellen im Körper haben unterschiedliche Funktionen.|The cells in the body have different functions.|der;Zelle;in;Körper;haben;unterschiedlich;Funktion
1.0|der|pronoun|the one|Der, der immer lacht, wird bald aufhören.|The one who always laughs will stop soon.|der;der;immer;lachen;werden;bald;aufhören
1.001|der|pronoun|that|Der Mann, der dort steht, ist mein Nachbar.|The man that is standing there is my neighbor.|der;Mann;der;dort;stehen;sein;mein;Nachbar
1.002|der|pronoun|those|Ich habe all die Bücher gesehen, die du magst.|I saw all those books you like.|ich;haben;all;der;Buch;sehen;der;du;magen
1.003|der|pronoun|the ones|Ich habe die genommen, die am billigsten waren.|I took the ones that were the cheapest.|ich;haben;der;nehmen;der;am;billig;sein
2.0|der|pronoun|who|Der Künstler, der das Gemälde erschuf, ist berühmt.|The artist who created the painting is famous.|der;Künstler;der;der;Gemälde;erschuf;sein;berühmt
2.001|der|pronoun|that|Der Baum, der gefällt wurde, war sehr alt.|The tree that was cut down was very old.|der;Baum;der;fällen;werden;sein;sehr;alt
3.0|und|conjunction|and|Er liebt es, zu reisen und neue Kulturen zu entdecken.|He loves to travel and discover new cultures.|er;lieben;es;zu;reisen;und;neu;Kultur;zu;entdecken
4.0|in|preposition|in|Ich werde heute in der Bibliothek arbeiten.|I will work in the library today.|ich;werden;heute;in;der;Bibliothek;arbeiten
5.0|sein (Vergangenheitsform)|auxiliary verb|(past tense)|Er war gestern krank und blieb zu Hause.|He was sick yesterday and stayed home.|er;sein;gestern;krank;und;bleiben;zu;Haus
6.0|sein|verb|to be|Es ist schwer, alles gleichzeitig zu tun.|It is hard to do everything at once.|es;sein;schwer;alle;gleichzeitig;zu;tun
7.0|ein|article|a|Ich trinke jeden Morgen ein schwarzes Getränk.|I drink a black beverage every morning.|ich;trinken;jeder;Morgen;ein;schwarz;Getränk
7.001|ein|article|an|Er hat ein sehr interessantes Buch über Architektur.|He has an interesting book on architecture. |er;haben;ein;sehr;interessant;Buch;über;Architektur
8.0|einer|pronoun|one of|Sie ist eine der klügsten Studentinnen, die ich kenne.|She is one of the smartest students I know.|sie;sein;einer;der;klüg;Studentin;der;ich;kennen
9.0|haben (Vergangenheitsform)|auxiliary verb|past tense|Ich habe die Aufgabe schon erledigt, keine Sorge.|I already did the task, don’t worry.|ich;haben;der;Aufgabe;schon;erledigen;kein;Sorge
10.0|haben|verb|to have|Wir haben noch keine konkreten Ergebnisse erzielt.|We haven't achieved any concrete results yet. |wir;haben;noch;kein;konkret;Ergebnis;erzielen
11.0|sie|pronoun|she|Sie hat die Präsentation souverän geleitet.|She led the presentation with confidence.|sie;haben;der;Präsentation;souverän;leiten
11.001|sie|pronoun|her|Sie schaltete den Laptop aus und ging ins Bett.|She turned off the laptop and went to bed.|sie;ausschalten;der;Laptop;aus;und;gehen;in;Bett
12.0|sie|pronoun|they|Sie haben das neue Restaurant ausprobiert.|They tried the new restaurant.|sie;haben;der;neu;Restaurant;ausprobieren
12.001|sie|pronoun|them|Ich habe sie nicht gehört, als sie riefen.|I didn’t hear them when they called.|ich;haben;sie;nicht;hören;als;sie;rufen
