of|IO|The color of the car is red.
do|VV0|Please do your homework.
they|PPHS2|They are going to the park.
she|PPHS1|She is my best friend.
about|II|We talked about the movie.
there|EX|There is a cat on the roof.
him|PPHO1|I gave him a gift.
could|VM|She could help us tomorrow.
no|AT|There is no time left.
man|NN1|The man is tall.
very|RG|She is very happy today.
work|VV0|I work from home.
call|VV0|Please call me later.
in|II|The keys are in the drawer.
as|CSA|She works as a teacher.
help|VV0|Can you help me?
every|AT1|Every day is a new beginning.
yes|UH|Yes, I agree with you.
its|APPGE|The dog wagged its tail.
hand|NN1|He raised his hand.
about|II|The book is about history.
without|IW|I can't do this without you.
story|NN1|He told me a funny story.
begin|VV0|Let's begin the meeting.
fact|NN1|It is a known fact.
maybe|RG|Maybe we can try again.
issue|NN1|The issue was resolved quickly.
though|CS|She smiled though she was tired.
best|JJT|She is the best singer.
both|DB2|Both options are good.
much|RG|She has much to learn.
four|MC1|Four cats are sleeping.
car|NN1|The car is new.
back|NN1|He hurt his back.
member|NN1|He is a member of the team.
whether|CSW|She wasn't sure whether to go or not.
stay|VV0|Please stay for dinner.
die|VV0|The plant might die without water.
office|NN1|The office is closed today.
grow|VV0|The tree will grow taller.
second|MD|She finished in second place.
low|JJ|The prices are low this season.
whole|JJ|He ate the whole cake.
hard|JJ|The test was very hard.
police|NN2|The police arrested the thieves.
break|VV0|Don't break the glass.
listen|VV0|Please listen carefully.
full|JJ|The cup is full of coffee.
local|JJ|We visited the local market.
value|NN1|The value of the coin is high.
explain|VV0|Can you explain this to me?
movie|NN1|We watched a good movie.
difference|NN1|Can you tell the difference?
effort|NN1|She made a great effort.
because|CS|He left because he was tired.
need|NN1|There is a need for more teachers.
situation|NN1|The situation is under control.
share|VV0|Please share your thoughts.
simply|RG|She simply smiled and walked away.
open|JJ|The door is open.
save|VV0|We need to save money.
guess|VV0|I guess we should leave.
election|NN1|The election results will be announced.
certain|JJ|I am not certain about this.
available|JJ|The book is available online.
current|JJ|The current situation is tense.
list|NN1|Please add your name to the list.
fire|NN1|The fire was put out quickly.
author|NN1|He is the author of the book.
note|VV0|Please note the changes.
nearly|RG|She is nearly finished with her work.
top|NN1|He climbed to the top of the hill.
worker|NN1|The worker took a break.
race|NN1|The race was exciting to watch.
poor|JJ|The poor man had no food.
enjoy|VV0|I enjoy reading books.
defense|NN1|The defense was strong in the game.
century|NN1|This building is from the 19th century.
animal|NN1|The zoo has many animals.
mile|NN1|We walked a mile to the store.
compare|VV0|You can't compare apples to oranges.
sister|NN1|My sister is younger than me.
thus|RG|It was raining, thus we stayed home.
candidate|NN1|The candidate gave a great speech.
somebody|PN1|Somebody left their bag here.
meeting|NN1|The meeting starts at 10 AM.
imagine|VV0|I can imagine how you feel.
disease|NN1|The disease spread quickly.
apply|VV0|You should apply for the job.
rise|VV0|The sun will rise soon.
set|NN1|The sun is about to set.
method|NN1|This method is very effective.
shit|NN1|The situation was complete shit.
interview|NN1|The interview went well.
blue|JJ|The sky is blue today.
environment|NN1|We need to protect the environment.
river|NN1|The river flows through the town.
